,assists,blocks,fg_attempts,fg_made,ft_attempts,ft_made,opponent,player,points,position,rebounds,salary,stats,steals,team,threes,turnovers,date,away,minutes_played,team_points,opponent_points,dk_pt
2338,5,0,8,4,3,3,mem,"Middleton, Khris",11,SG/SF,6,6900,11pt 6rb 5as 1st 2to 4-8fg 3-3ft,1,mil,0,2,2019-01-16,True,26.85,111,101,27.0
2339,1,0,7,6,0,0,cle,"Aminu, Al-Farouq",14,SF/PF,9,5300,14pt 9rb 1as 2to 2trey 6-7fg,0,por,2,2,2019-01-16,False,28.33,129,112,26.75
2340,1,1,15,6,0,0,bos,"Green, Danny",15,SG/SF,6,4600,15pt 6rb 1as 1bl 2to 3trey 6-15fg,0,tor,3,2,2019-01-16,True,30.83,108,117,26.5
2341,2,0,11,5,2,2,det,"Gordon, Aaron",12,SF/PF,8,7000,12pt 8rb 2as 1st 2to 5-11fg 2-2ft,1,orl,0,2,2019-01-16,True,37.07,115,120,26.0
2342,1,2,8,4,0,0,por,"Blossomgame, Jaron",8,SF/PF,10,3000,8pt 10rb 1as 2bl 4-8fg,0,cle,0,0,2019-01-16,True,28.55,112,129,26.0
2343,4,0,10,5,4,2,nor,"Iguodala, Andre",13,SG/SF,5,3900,13pt 5rb 4as 1trey 5-10fg 2-4ft,0,gsw,1,0,2019-01-16,False,23.35,147,140,25.75
2344,2,0,8,5,6,5,lac,"Korver, Kyle",19,SG/SF,2,4200,19pt 2rb 2as 2to 4trey 5-8fg 5-6ft,0,uta,4,2,2019-01-16,True,24.12,129,109,25.5
2345,3,0,18,4,3,2,sas,"Barnes, Harrison",11,SF/PF,8,5700,11pt 8rb 3as 1to 1trey 4-18fg 2-3ft,0,dal,1,1,2019-01-16,False,35.35,101,105,25.5
2346,2,0,11,5,4,4,dal,"Belinelli, Marco",17,SG/SF,2,3800,17pt 2rb 2as 1st 1to 3trey 5-11fg 4-4ft,1,sas,3,1,2019-01-16,True,23.95,105,101,25.5
2347,2,0,10,6,1,1,orl,"Kennard, Luke",14,SG/SF,4,3400,14pt 4rb 2as 1st 1trey 6-10fg 1-1ft,1,det,1,0,2019-01-16,False,25.52,120,115,24.5
2348,2,0,12,7,0,0,hou,"Kurucs, Rodions",14,SF/PF,5,4100,14pt 5rb 2as 1st 2to 7-12fg,1,bkn,0,2,2019-01-16,True,29.55,145,142,24.25
2349,1,0,13,7,2,2,gsw,"Moore, E'Twaun",17,SG/SF,3,4000,17pt 3rb 1as 1trey 7-13fg 2-2ft,0,nor,1,0,2019-01-16,True,33.18,140,147,22.75
2350,6,0,12,5,0,0,orl,"Bullock, Reggie",13,SG/SF,0,4500,13pt 6as 2to 3trey 5-12fg,0,det,3,2,2019-01-16,False,38.35,120,115,22.5
2351,1,1,6,3,4,4,lac,"O'Neale, Royce",10,SF,7,4500,10pt 7rb 1as 1bl 3-6fg 4-4ft,0,uta,0,0,2019-01-16,True,35.73,129,109,22.25
2352,1,1,11,6,2,2,dal,"Gay, Rudy",14,SF/PF,4,5300,14pt 4rb 1as 1bl 2to 6-11fg 2-2ft,0,sas,0,2,2019-01-16,True,22.38,105,101,21.5
2353,3,0,12,5,0,0,sas,"Matthews, Wes",13,SG/SF,3,4500,13pt 3rb 3as 3to 3trey 5-12fg,0,dal,3,3,2019-01-16,False,33.13,101,105,21.25
2354,8,0,8,3,0,0,lac,"Ingles, Joe",6,SG/SF,0,5900,6pt 8as 2st 2to 3-8fg,2,uta,0,2,2019-01-16,True,30.28,129,109,21.0
2355,0,1,6,4,0,0,dal,"Bertans, Davis",12,SF/PF,4,4200,12pt 4rb 1bl 4trey 4-6fg,0,sas,4,0,2019-01-16,True,25.28,105,101,21.0
2356,1,1,4,1,2,2,mil,"Holiday, Justin",5,SG/SF,4,3400,5pt 4rb 1as 4st 1bl 2to 1trey 1-4fg 2-2ft,4,mem,1,2,2019-01-16,False,16.87,101,111,21.0
